Title,Description,Price
整租·大都家园 1室1厅 南,,1500
合租·盛邦珑湖 5居室 南卧,精选,650
整租·绿城春江明月 3室2厅 南,,2300
合租·南航翔宇花园 4居室 南卧,精选,1000
整租·融创·融公馆 1室1厅 东,,1300
N/A,,1700
整租·绿地中央广场 1室1厅 南,,2100
N/A,,950
整租·广西二轻大院 3室2厅 南,,1800
N/A,,800
整租·马来西亚城 3室2厅 南/北,,4000
N/A,,1000
整租·铂宫国际写字楼 4室1厅 南,,24000
N/A,,800
整租·绿地中央广场 1室1厅 南,,2500
整租·云星时代广场 1室1厅 南,,1300
整租·万科公园里 4室2厅 南,,2500
N/A,,1000
整租·昌泰水立方 3室2厅 南/北,,1800
整租·龙光玖珑湖 4室2厅 东南,,2500
整租·海普四季绿城 3室2厅 南,,2000
N/A,,400
整租·盛湖悦景 4室2厅 南/北,,2300
N/A,,1250
整租·安吉丽城 4室2厅 南,,2200
N/A,,650
整租·凤岭麒麟堡 1室1厅 南,,6000
N/A,,1800
整租·城市碧园 4室2厅 南/北,,2150
N/A,,450
整租·安吉丽城 4室2厅 南,,2200
N/A,,750
整租·城市碧园 4室2厅 南/北,,2150
合租·竹江景苑 5居室 南卧,精选,1200
整租·利海亚洲国际B区 1室0厅 东,,1400
N/A,,699
整租·平安家园 3室2厅 南,,2500
合租·泽峰花园 4居室 南卧,精选,900
整租·荣和悦澜山 4室2厅 东,,3100
合租·和美家園 5居室 南卧,精选,800
整租·凤岭麒麟堡 1室1厅 南,,6000
N/A,,500
整租·万达公馆 4室2厅 东南,,9000
N/A,,650
整租·昌泰水立方 3室2厅 南/北,,1800
整租·昌泰水立方 4室2厅 南,,1600
整租·光明城市雅集苑 3室2厅 南,,1500
N/A,,550
整租·竹江景苑 3室2厅 南,,2800
整租·龙光普罗旺斯卡地亚庄园 5室2厅 南/北,,3000
整租·柳沙三兴花园 3室2厅 南,,1600
N/A,,699
整租·碧桂园·时代城 3室2厅 南,,1800
N/A,,400
整租·万科城北区 4室2厅 南,,3500
N/A,,700
整租·阳光城·檀悦 3室2厅 南,,2300
N/A,35.00㎡,1000
整租·联盟新城 1室1厅 南,,2500
N/A,,366
